artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
The Cure,Logged In,Aubrey,F,3,Chavez,161.48853,free,"Denver-Aurora-Lakewood, CO",PUT,NextSong,1486573377284,5712,Boys Don't Cry,200,1513745715284,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),1461
Macaco,Logged In,Oakley,F,2,Baker,252.94322,free,"Scranton--Wilkes-Barre--Hazleton, PA",PUT,NextSong,1510535258284,5906,Paya,200,1513745717284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",480
,Logged Out,,,0,,,paid,,GET,Home,,3951,,200,1513745727284,,""
,Logged In,Jeremiah,M,0,Sanders,,free,"Bridgeport-Stamford-Norwalk, CT",GET,Home,1500769588284,5737,,200,1513745749284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2685
Los Fresones Rebeldes,Logged In,Aiden,M,18,Fernandez,155.58485,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,Al amanecer,200,1513745824284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
John Coltrane / Johnny Hartman,Logged In,Averi,F,22,Fitzpatrick,298.34404,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1505171267284,5418,My One And Only Love,200,1513745908284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",523
Sinead O'Connor,Logged In,Dreden,M,30,Rodriguez,380.96934,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,You Made Me The Thief Of Your Heart,200,1513745909284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Gorillaz,Logged In,Ashton,M,19,Nelson,223.73832,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,Clint Eastwood (Ed Case/Sweetie Irie Refix) (Edit),200,1513745932284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
Steve Hackett,Logged In,Oakley,F,3,Baker,158.1971,free,"Scranton--Wilkes-Barre--Hazleton, PA",PUT,NextSong,1510535258284,5906,Hackett To Pieces,200,1513745969284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",480
Lily Allen,Logged In,Aiden,M,19,Fernandez,377.36444,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,LDN (Switch Remix),200,1513745979284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Kenny Wayne Shepherd Band,Logged In,Lillian,F,24,Ward,356.07465,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Born With A Broken Heart (Album Version),200,1513746050284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
Tommy Reeve,Logged In,Ailyn,F,0,Hernandez,226.61179,free,"Hagerstown-Martinsburg, MD-WV",PUT,NextSong,1511814964284,5552,I'm Sorry,200,1513746071284,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,1887
,Logged In,Ailyn,F,1,Hernandez,,free,"Hagerstown-Martinsburg, MD-WV",PUT,Logout,1511814964284,5552,,307,1513746072284,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,1887
,Logged In,Madison,F,0,Morton,,free,"Chicago-Naperville-Elgin, IL-IN-WI",GET,Home,1510240438284,3371,,200,1513746078284,"\"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",726
Billie Ray Martin,Logged In,Oakley,F,4,Baker,305.55383,free,"Scranton--Wilkes-Barre--Hazleton, PA",PUT,NextSong,1510535258284,5906,Space Oasis,200,1513746127284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",480
System of a Down,Logged In,Ashton,M,20,Nelson,128.23465,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,This Cocaine Makes Me Feel Like I'm On This Song,200,1513746155284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
The Watts Prophets,Logged In,Trayton,M,0,Jones,127.79057,free,"Dayton, OH",PUT,NextSong,1511701285284,5116,The Days_ The Hours,200,1513746207284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1025
Linkin Park,Logged In,Brooke,F,0,Jackson,226.95138,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1510264638284,698,High Voltage,200,1513746274284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",699
Carpark North,Logged In,Ashton,M,21,Nelson,308.40118,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,Homeland,200,1513746283284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
Eric B. & Rakim,Logged In,Dreden,M,31,Rodriguez,205.03465,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,The R,200,1513746289284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
They Might Be Giants,Logged In,Kyle,M,0,Garcia,183.45751,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1512845183284,5862,New York City (LP Version),200,1513746298284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2109
,Logged Out,,,2,,,free,,GET,Home,,5552,,200,1513746313284,,""
,Logged Out,,,3,,,free,,PUT,Login,,5552,,307,1513746314284,,""
,Logged In,Diego,M,0,Thomas,,paid,"Blackfoot, ID",GET,Home,1506879344284,5579,,200,1513746328284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1019
,Logged Out,,,0,,,free,,GET,Home,,5053,,200,1513746331284,,""
David Byrne & Fatboy Slim feat. Kate Pierson,Logged In,Trayton,M,1,Jones,255.42485,free,"Dayton, OH",PUT,NextSong,1511701285284,5116,The Whole Man (Album Version),200,1513746334284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1025
,Logged In,Diego,M,1,Thomas,,paid,"Blackfoot, ID",GET,Home,1506879344284,5579,,200,1513746335284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1019
Martin Orford,Logged In,Diego,M,2,Thomas,597.55057,paid,"Blackfoot, ID",PUT,NextSong,1506879344284,5579,Grand Designs,200,1513746344284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1019
,Logged Out,,,1,,,free,,GET,About,,5053,,200,1513746352284,,""
,Logged Out,,,2,,,free,,GET,Home,,5053,,200,1513746353284,,""
,Logged Out,,,3,,,free,,PUT,Login,,5053,,307,1513746354284,,""
Justin Bieber,Logged In,Aiden,M,20,Fernandez,232.69832,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,That Should Be Me,200,1513746356284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
,Logged In,Madelyn,F,4,Fischer,,free,"Kalispell, MT",GET,Home,1504877325284,5053,,200,1513746366284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2964
Francisca Valenzuela,Logged In,Lillian,F,25,Ward,233.01179,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Peces,200,1513746406284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
Sense Field,Logged In,Oakley,F,5,Baker,152.60689,free,"Scranton--Wilkes-Barre--Hazleton, PA",PUT,NextSong,1510535258284,5906,No Longer Now,200,1513746432284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",480
Coldplay,Logged In,Emily,F,0,Watkins,297.35138,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513144424284,5126,God Put A Smile Upon Your Face,200,1513746463284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2699
Jonas Brothers,Logged In,Dreden,M,32,Rodriguez,153.46893,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,S.O.S.,200,1513746494284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
,Logged Out,,,1,,,paid,,GET,Home,,3951,,200,1513746544284,,""
,Logged In,Ailyn,F,4,Hernandez,,free,"Hagerstown-Martinsburg, MD-WV",GET,Home,1511814964284,5552,,200,1513746568284,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,1887
Imogen Heap,Logged In,Oakley,F,6,Baker,509.36118,free,"Scranton--Wilkes-Barre--Hazleton, PA",PUT,NextSong,1510535258284,5906,Hide & Seek,200,1513746584284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",480
The Whitest Boy Alive,Logged In,Aiden,M,21,Fernandez,199.47057,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,High On The Heels,200,1513746588284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Taylor Swift,Logged In,Trayton,M,2,Jones,230.47791,free,"Dayton, OH",PUT,NextSong,1511701285284,5116,You Belong With Me,200,1513746589284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1025
Tryo,Logged In,Ashton,M,22,Nelson,271.15057,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,El Dulce De Leche,200,1513746591284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
,Logged Out,,,2,,,paid,,GET,Home,,3951,,200,1513746594284,,""
Rise Against,Logged In,Lillian,F,26,Ward,242.25914,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Savior,200,1513746639284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
Holy Fuck,Logged In,Dreden,M,33,Rodriguez,235.4673,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Stilettos,200,1513746647284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
,Logged Out,,,0,,,paid,,GET,Home,,4904,,200,1513746674284,,""
Matt Costa,Logged In,Aiden,M,22,Fernandez,221.67465,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,Yellow Taxi,200,1513746787284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Tub Ring,Logged In,Trayton,M,3,Jones,233.69098,free,"Dayton, OH",PUT,NextSong,1511701285284,5116,Invalid,200,1513746819284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1025
,Logged Out,,,3,,,paid,,GET,About,,3951,,200,1513746827284,,""
,Logged Out,,,4,,,paid,,PUT,Login,,3951,,307,1513746828284,,""
Nanci Griffith,Logged In,Ailyn,F,5,Hernandez,157.3873,free,"Hagerstown-Martinsburg, MD-WV",PUT,NextSong,1511814964284,5552,The Streets Of Baltimore (LP Version),200,1513746831284,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,1887
Manfred Mann,Logged In,Ayman,M,0,Snyder,137.35138,free,"San Antonio-New Braunfels, TX",PUT,NextSong,1500151042284,5802,Watch Your Step (1996 Digital Remaster),200,1513746857284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2958
Jamie Cullum,Logged In,Ashton,M,23,Nelson,288.67873,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,Don't Stop The Music,200,1513746862284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
,Logged In,Nelson,M,0,Norton,,free,"New Philadelphia-Dover, OH",GET,Home,1502968765284,2246,,200,1513746863284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2247
Christina Milian,Logged In,Lillian,F,27,Ward,196.54485,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Dip It Low,200,1513746881284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
Cheikh LÃÂ´,Logged In,Dreden,M,34,Rodriguez,375.09179,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,AfricadÃÂ«n,200,1513746882284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Grave Plott,Logged In,Haileigh,F,0,Garcia,281.96526,free,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1509776698284,5171,MidWest featuring Skatterman & Snug Brim,200,1513746911284,"\"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36\"",1514
The Flatlanders,Logged In,Shannon,F,0,Rowe,191.13751,free,"Winston-Salem, NC",PUT,NextSong,1510042055284,2165,Hello Stranger,200,1513746941284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2166
Nu Shooz,Logged In,Diego,M,3,Thomas,219.84608,paid,"Blackfoot, ID",PUT,NextSong,1506879344284,5579,I Cant Wait,200,1513746941284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1019
Aerosmith,Logged In,Ailyn,F,6,Hernandez,319.73832,free,"Hagerstown-Martinsburg, MD-WV",PUT,NextSong,1511814964284,5552,Crazy,200,1513746988284,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,1887
,Logged In,Ailyn,F,7,Hernandez,,free,"Hagerstown-Martinsburg, MD-WV",PUT,Logout,1511814964284,5552,,307,1513746989284,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,1887
,Logged Out,,,8,,,free,,GET,Home,,5552,,200,1513747001284,,""
Eric Clapton,Logged In,Aiden,M,23,Fernandez,323.49995,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,My Father's Eyes,200,1513747008284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Deadmau5,Logged In,Tyler,M,0,Morris,374.20363,paid,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1509616156284,4964,Ghosts 'n' Stuff (Original Instrumental Mix),200,1513747009284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1950
,Logged In,Josalynn,F,5,Little,,paid,"Los Angeles-Long Beach-Anaheim, CA",GET,Home,1511554890284,3951,,200,1513747020284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2313
Mediaeval Baebes,Logged In,Lillian,F,28,Ward,211.66975,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Star Of The Sea,200,1513747077284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
Toby Keith,Logged In,Shannon,F,1,Rowe,263.31383,free,"Winston-Salem, NC",PUT,NextSong,1510042055284,2165,American Soldier,200,1513747132284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2166
Thievery Corporation,Logged In,Ashton,M,24,Nelson,229.8771,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,The Richest Man In Babylon,200,1513747150284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
Thrice,Logged In,Diego,M,4,Thomas,163.3171,paid,"Blackfoot, ID",PUT,NextSong,1506879344284,5579,Under A Killing Moon,200,1513747160284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1019
,Logged In,Diego,M,5,Thomas,,paid,"Blackfoot, ID",GET,Error,1506879344284,5579,,404,1513747163284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1019
Ween,Logged In,Haileigh,F,1,Garcia,289.12281,free,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1509776698284,5171,A Tear for Eddie (LP Version),200,1513747192284,"\"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36\"",1514
Vanessa Paradis,Logged In,Dreden,M,35,Rodriguez,177.91955,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,La MÃÂ©lodie,200,1513747257284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
,Logged Out,,,9,,,free,,GET,About,,5552,,200,1513747258284,,""
,Logged In,Timothy,M,0,Zuniga,,free,"Chicago-Naperville-Elgin, IL-IN-WI",GET,Home,1510107043284,5925,,200,1513747270284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,1362
Tub Ring,Logged In,Lillian,F,29,Ward,233.69098,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Invalid,200,1513747288284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
Travie McCoy,Logged In,Aiden,M,24,Fernandez,211.12118,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,Billionaire [feat. Bruno Mars]  (Explicit Album Version),200,1513747331284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Ratatat,Logged In,Ashton,M,25,Nelson,269.73995,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,Lex,200,1513747379284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
Parov Stelar,Logged In,Tyler,M,1,Morris,203.65016,paid,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1509616156284,4964,Good Bye Emily (feat. Gabriella Hanninen),200,1513747383284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1950
Lucky Boys Confusion,Logged In,Dreden,M,36,Rodriguez,205.68771,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Breaking Rules ( LP Version),200,1513747434284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
James Ingram,Logged In,Josalynn,F,6,Little,299.04934,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1511554890284,3951,Baby Be Mine,200,1513747456284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2313
Todd Barry,Logged In,Lillian,F,30,Ward,126.82404,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Sugar Ray (LP Version),200,1513747521284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
,Logged Out,,,10,,,free,,GET,Home,,5552,,200,1513747529284,,""
Radiohead,Logged In,Aiden,M,25,Fernandez,260.0224,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,Sit Down. Stand Up,200,1513747542284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Fattburger,Logged In,Sasha,F,0,Ramirez,217.20771,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1508784145284,5343,Groovin',200,1513747585284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",838
Man Man,Logged In,Tyler,M,2,Morris,223.73832,paid,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1509616156284,4964,Skin Tension,200,1513747586284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1950
Operation Ivy,Logged In,Dreden,M,37,Rodriguez,124.89098,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Here We Go Again,200,1513747639284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Muse,Logged In,Lillian,F,31,Ward,209.50159,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,Supermassive Black Hole (Twilight Soundtrack Version),200,1513747647284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
Paul Cardall,Logged In,Ashton,M,26,Nelson,291.47383,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,Faithful,200,1513747648284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
,Logged In,Madelyn,F,0,Patterson,,free,"Warner Robins, GA",GET,Home,1506966322284,4995,,200,1513747742284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",942
Yo La Tengo,Logged In,Josalynn,F,7,Little,250.85342,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1511554890284,3951,I'm Set Free,200,1513747755284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2313
Nine Inch Nails,Logged In,Dreden,M,38,Rodriguez,221.70077,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Wish,200,1513747763284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Flaco Jimenez,Logged In,Aiden,M,26,Fernandez,155.81995,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,En El Cielo No Hay Cerveza (In Heaven There Is No Beer),200,1513747802284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Octopus Project,Logged In,Tyler,M,3,Morris,173.34812,paid,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1509616156284,4964,The Adjustor,200,1513747809284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1950
Marea,Logged In,Lillian,F,32,Ward,243.25179,paid,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1504568890284,1985,El perro verde,200,1513747856284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",1986
The Rolling Stones,Logged In,Ashton,M,27,Nelson,108.48608,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,5915,Come On,200,1513747939284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
Daft Punk,Logged In,Aiden,M,27,Fernandez,223.60771,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,Harder Better Faster Stronger,200,1513747957284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Rufus Wainwright,Logged In,Tyler,M,4,Morris,208.71791,paid,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1509616156284,4964,Imaginary Love,200,1513747982284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1950
Ry Cooder,Logged In,Dreden,M,39,Rodriguez,201.56036,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,5846,Corrido de Boxeo,200,1513747984284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
